parent_clip_id,clip_id,video_id,speaker_id,language,emotion,source_url,start_sec,end_sec,duration_sec,chunk_index,transcription,transcribed,selected,reviewed
xC9v9c_0XBo_585,xC9v9c_0XBo_615_645,xC9v9c_0XBo,xC9v9c_0XBo,en-IN,Angry,https://www.youtube.com/watch?v=xC9v9c_0XBo,615,645,30,1,"act like this. He says today, let me explain to you. Anujal, can I read out something today what he says? He says today, intercourse. He says while Nirbhaya was raped, he says in the mercy petition, he says it is further stated that the prosecutrix was raped by a minimum of two men and that she does not remember intercourse after that.",Y,Y,
xC9v9c_0XBo_585,xC9v9c_0XBo_645_675,xC9v9c_0XBo,xC9v9c_0XBo,en-IN,Angry,https://www.youtube.com/watch?v=xC9v9c_0XBo,645,675,30,2,"This man on your screen, ladies and gentlemen, Advocate AP Singh brushes aside rape as some kind of intercourse. For people like him, he says, and I can only say that we are all ashamed of you, Advocate AP Singh, for your lack of sensitivity, empathy, and sense. Brinda Adige, he calls rape intercourse. Did you hear that?",Y,Y,
xC9v9c_0XBo_585,xC9v9c_0XBo_675_690,xC9v9c_0XBo,xC9v9c_0XBo,en-IN,Angry,https://www.youtube.com/watch?v=xC9v9c_0XBo,675,690,15,3,"He calls it intercourse and he sits there with a straight face on my program today. He's proud of what he's done, Yogita. He's proud. Vrinda, I want to bring you into the debate to first respond to his definition of rape as some some form of sexual intercourse.",Y,Y,
RJAJdYw3ctw_83,RJAJdYw3ctw_83_112,RJAJdYw3ctw,RJAJdYw3ctw,en-IN,Angry,https://www.youtube.com/watch?v=RJAJdYw3ctw,83,112,29,0,"forces special powers act section five rule four.a. Any commissioned officer, warrant officer, non commissioned officer or any other person of equivalent rank of the armed forces may in a disturbed area if he's of the opinion that it's necessary to do so for the maintenance of public order and after having given due warning as he may consider necessary fire upon or otherwise use force even to the causing of death. Against anyone acting in contravention with law.",Y,Y,
5mHdJmXVLNI_31,5mHdJmXVLNI_31_39,5mHdJmXVLNI,5mHdJmXVLNI,en-IN,Excited,https://www.youtube.com/watch?v=5mHdJmXVLNI,31,39,8,0,We're back! We're hungry! And this beautiful morning finds us in Thiruvananthapuram in,Y,Y,
A__BAweSlUc_0,A__BAweSlUc_0_30,A__BAweSlUc,A__BAweSlUc,en-IN,Excited,https://www.youtube.com/shorts/A__BAweSlUc,0,30,30,0,"This is how I spent money to save money. We saved big money in Japan and here's how you too can. And that was because we booked this amazing Airbnb which was just a casual stroll away from all the prime spots. The next big thing was our meals. Morning runs for fresh fruits and smoothies became our new routine. And the fact that we had a fully equipped kitchen, we enjoyed our cozy ramen date nights. It truly felt like we were actually living there. So the biggest takeaway",Y,Y,
A__BAweSlUc_0,A__BAweSlUc_30_33,A__BAweSlUc,A__BAweSlUc,en-IN,Excited,https://www.youtube.com/shorts/A__BAweSlUc,30,33,3,1,,,,
VyGY4pmQ4Ek_0,VyGY4pmQ4Ek_0_30,VyGY4pmQ4Ek,VyGY4pmQ4Ek,en-IN,Excited,https://www.youtube.com/watch?v=VyGY4pmQ4Ek,0,30,30,0,"Hi there and welcome back to my YouTube channel. I'm so excited to see you watching this video. And here are a few things I already know about you because you decided to click on this video today. Firstly, you're not just another traveler. You're someone who's ready to invest in themselves. You're someone who's craving more than that everyday routine. And you're someone who's brave enough to feel a little uncomfortable because you know that that's where the real magic happens. And that's why I'm so glad that you're here because Solo Travel did all of that.",Y,Y,
VyGY4pmQ4Ek_0,VyGY4pmQ4Ek_30_60,VyGY4pmQ4Ek,VyGY4pmQ4Ek,en-IN,Excited,https://www.youtube.com/watch?v=VyGY4pmQ4Ek,30,60,30,1,"that and truly changed my life. I say this every single time, and in today's video, as you probably have already seen in the title, I want to share all of these destinations that I personally feel can change your life too, once you travel solo to them, because these places are some of the easiest destinations you can travel solo to. I'm giving you the top six destinations internationally and five destinations within India that are going to be perfect for your first solo trip. Now remember, these have a special focus for women because I have the experience of",Y,Y,
jyf9dHgFdlk_13,jyf9dHgFdlk_13_43,jyf9dHgFdlk,jyf9dHgFdlk,en-IN,Excited,https://www.youtube.com/watch?v=jyf9dHgFdlk,13,43,30,0,"Hello to my favorite people in the whole wide world, the coffee viewers. This season of Coffee with Karan has been exciting for all the right reasons. We've had some steamy conversations, some confessions, lots of fun and games, and of course our beloved constant that is our rapid fire round. So today, I'm with a third wheel that always finds itself between the two guests on my couch. It's immensely desired, it's ruthlessly fought over, and our illustrious coffee gang has made",Y,Y,
jyf9dHgFdlk_13,jyf9dHgFdlk_43_73,jyf9dHgFdlk,jyf9dHgFdlk,en-IN,Excited,https://www.youtube.com/watch?v=jyf9dHgFdlk,43,73,30,1,,,,
VyGY4pmQ4Ek_180,VyGY4pmQ4Ek_180_210,VyGY4pmQ4Ek,VyGY4pmQ4Ek,en-IN,Excited,https://www.youtube.com/watch?v=VyGY4pmQ4Ek,180,210,30,0,"I have personally been to twice and I think I could go back again and again just because of how A beautiful it is, B affordable it is, and C the people are so so so friendly here. I'm talking about Thailand. Probably the best international destination for a first time solo traveler. Let me give you an example. So when I went to Thailand for the first time I was traveling solo and I remember taking a boat from Phuket to Kophi Phi which is a beautiful island there. And it was so funny that 90 percent of the people on",Y,Y,
VyGY4pmQ4Ek_180,VyGY4pmQ4Ek_210_230,VyGY4pmQ4Ek,VyGY4pmQ4Ek,en-IN,Excited,https://www.youtube.com/watch?v=VyGY4pmQ4Ek,210,230,20,1,"that boat were also traveling solo and they were so open to meeting new people because everybody is basically in the same environment and mood as you and so they are also super excited to meet other people and do activities with other people. So I think Thailand was one place where I had no issues making friends. In fact, some of the days I had to actually take alone time because I used to just be constantly",Y,Y,
8vNpDUz3flg_0,8vNpDUz3flg_0_30,8vNpDUz3flg,8vNpDUz3flg,en-IN,Formal,https://www.youtube.com/watch?v=8vNpDUz3flg,0,30,30,0,"Hi. My name is Maulia and I'm currently an undergraduate student at Avi College of Engineering and I major in Information Science and Engineering. Artificial intelligence has become such a major part in everybody's lives, including mine, and will continue to play an even greater role in the coming future. My interest in artificial intelligence started when I watched a movie where a machine could predict the clothing choices for a particular user based on his previous decisions and interests. That was the most",Y,Y,
8vNpDUz3flg_0,8vNpDUz3flg_30_60,8vNpDUz3flg,8vNpDUz3flg,en-IN,Formal,https://www.youtube.com/watch?v=8vNpDUz3flg,30,60,30,1,"Fascinating thing I'd ever come across. The capability of a machine to think and make human-like choices, sometimes even better, was so interesting and this is where my interest for AI grew. Following this, I started to strengthen my knowledge skills in the field of AI by familiarizing myself with concepts like machine learning algorithms, computer vision, deep learning, and natural language processing and so much more. When I started researching for graduate programs in the field of AI,",Y,Y,
8vNpDUz3flg_0,8vNpDUz3flg_60_80,8vNpDUz3flg,8vNpDUz3flg,en-IN,Formal,https://www.youtube.com/watch?v=8vNpDUz3flg,60,80,20,2,"Right? I had a hard time trying to find the perfect fit. Something that closely aligns with my interests. That's when I came across MSAII program at CMU. Subjects such as AI and future markets, AI engineering, medical image analysis, computer vision, all of these seemed so",Y,Y,
ASRB1MjcDvA_0,ASRB1MjcDvA_0_30,ASRB1MjcDvA,ASRB1MjcDvA,en-IN,Formal,https://www.youtube.com/watch?v=ASRB1MjcDvA,0,30,30,0,"Hello, Namaste, members of the admissions committee. My name is Amya Morabale. I'm a data analyst at the Math company, and I live in the beautiful city of Mumbai. Now, you've already gotten a glimpse into my work experience, projects, research, and my background in artificial intelligence through other materials. So before I actually delve into my academic and professional aspirations and the reasons why I want to pursue the MSAI at CMU, I actually wanted to first give you a holistic picture of me apart from academics, sharing interesting parts of my life and different sides of me that you have not seen yet.",Y,Y,
tl_6rcm0zPk_30,tl_6rcm0zPk_30_60,tl_6rcm0zPk,tl_6rcm0zPk,en-IN,Formal,https://www.youtube.com/watch?v=tl_6rcm0zPk,30,60,30,0,,,,
tl_6rcm0zPk_30,tl_6rcm0zPk_60_90,tl_6rcm0zPk,tl_6rcm0zPk,en-IN,Formal,https://www.youtube.com/watch?v=tl_6rcm0zPk,60,90,30,1,,,,
iQaiMoUn-zc_20,iQaiMoUn-zc_20_50,iQaiMoUn-zc,iQaiMoUn-zc,en-IN,Formal,https://www.youtube.com/watch?v=iQaiMoUn-zc,20,50,30,0,"Quite a lot has been said and I feel very happy and proud that you've introduced me the way you have introduced me. I need to take some tips on anchoring from you guys. I tend to over anchor a lot. So well TEDx has been a very inspiring thing in my individual life also. I've seen so many of these TED talks and they've all been extremely inspiring. I've learned so much, applied so much, I've become a better version of myself and here I am with my own. People who've been here have been far more accomplished.",Y,Y,
iQaiMoUn-zc_20,iQaiMoUn-zc_50_80,iQaiMoUn-zc,iQaiMoUn-zc,en-IN,Formal,https://www.youtube.com/watch?v=iQaiMoUn-zc,50,80,30,1,"first than I am, people who've been here and used this stage like Jograj ji, Mr. Shah Rukh Khan, I I didn't get your name. The the I just walked in during. Sumrit, Sumrit, such an inspiring speech. You know, even in terms of struggles and exposure people have had so much, but I have my own experiences and here I am. And like Jograj ji said that if even a single one of you can get some inspiration out of it, can change a degree of an area of your life, I'd be extremely happy and it would have been fruitful coming here.",Y,Y,
-WnTqddlx4s_0,-WnTqddlx4s_0_6,-WnTqddlx4s,-WnTqddlx4s,en-IN,Whisper,https://www.youtube.com/shorts/-WnTqddlx4s,0,6,6,0,"So they had to record the sound of many fingers, right, to match what we did on screen.",Y,Y,
4cEI-uqxOkY_0,4cEI-uqxOkY_0_30,4cEI-uqxOkY,4cEI-uqxOkY,en-IN,Whisper,https://www.youtube.com/shorts/4cEI-uqxOkY,0,30,30,0,"Like whenever people think of Snow White, they think of a weak little child, but she is a very strong little child, you know. Even though she's living a very miserable life, she is still making the most out of it. Not only is she very positive, she brings positivity all around her, you know. All the animals, you know, come close to her, you know. All the birds are helping her. And there are some people like this, you know, who when they come",Y,Y,
4cEI-uqxOkY_0,4cEI-uqxOkY_30_44,4cEI-uqxOkY,4cEI-uqxOkY,en-IN,Whisper,https://www.youtube.com/shorts/4cEI-uqxOkY,30,44,14,1,"somewhere even though they are like doing something in a simple, but they still do it with lot of passion and love and everywhere they go, other people are also very happy with them. They bring happiness in other people as well.",Y,Y,
VEcnAvwS37s_0,VEcnAvwS37s_0_30,VEcnAvwS37s,VEcnAvwS37s,en-IN,Whisper,https://www.youtube.com/shorts/VEcnAvwS37s,0,30,30,0,"Be careful of the people who are around you. If someone is giving you a bad feeling, be on alert mode. The devil doesn't come with homes. The devil comes in a disguise. Sometimes the people you think are very nice, friendly, they may not have very good intentions for you. Don't judge people based on their appearance. Sometimes people may seem like very good.",Y,Y,
VEcnAvwS37s_0,VEcnAvwS37s_30_45,VEcnAvwS37s,VEcnAvwS37s,en-IN,Whisper,https://www.youtube.com/shorts/VEcnAvwS37s,30,45,15,1,"But they are there to hurt you or take advantage of you. If someone is causing you harm in a direct or indirect way, just be careful of them and walk away from them. Do not",Y,Y,
iQGMbCBE-Uc_0,iQGMbCBE-Uc_0_30,iQGMbCBE-Uc,iQGMbCBE-Uc,en-IN,Whisper,https://www.youtube.com/watch?v=iQGMbCBE-Uc,0,30,30,0,"Hello, good afternoon. Can I help you? Okay. Yes, I am the librarian. Sure. Okay. Yes, I can help you with finding a book that you might be interested in. Yes.",Y,Y,
iQGMbCBE-Uc_0,iQGMbCBE-Uc_30_60,iQGMbCBE-Uc,iQGMbCBE-Uc,en-IN,Whisper,https://www.youtube.com/watch?v=iQGMbCBE-Uc,30,60,30,1,"There is another one also, another colleague of mine, but I have been working here for the past 16 and a half years. Books are my passion. So you are in the right place. Okay. So tell me what kind of books are you looking for? I see.",Y,Y,
iQGMbCBE-Uc_0,iQGMbCBE-Uc_60_90,iQGMbCBE-Uc,iQGMbCBE-Uc,en-IN,Whisper,https://www.youtube.com/watch?v=iQGMbCBE-Uc,60,90,30,2,"something new. Oh, so you are looking for books that I would suggest to everyone. Books that can teach you a lot through a story. Wonderful. I must say, I really like that mindset, especially with the younger generation.",Y,Y,
iQGMbCBE-Uc_0,iQGMbCBE-Uc_90_110,iQGMbCBE-Uc,iQGMbCBE-Uc,en-IN,Whisper,https://www.youtube.com/watch?v=iQGMbCBE-Uc,90,110,20,3,,,,
TXXVfGAzcYw_19,TXXVfGAzcYw_19_49,TXXVfGAzcYw,TXXVfGAzcYw,hi-IN,Formal,https://www.youtube.com/watch?v=TXXVfGAzcYw,19,49,30,0,"और ये अपने गाने के ज़रिए पूछ रही है कि ओ मेरे दिल, मेरी आत्मा, तू मर्द है कि औरत? नर है कि मादा? सवाल को ध्यान में रखिएगा। अब मैं आपसे तीन-चार बातें कुदरत के बारे में, नेचर के बारे में करना चाहती हूँ। थोड़ा सा ध्यान दें कि कुदरत ने औरत और मर्द में सिमिलैरिटीज़ ज़्यादा दी हैं।",Y,Y,
TXXVfGAzcYw_19,TXXVfGAzcYw_49_79,TXXVfGAzcYw,TXXVfGAzcYw,hi-IN,Formal,https://www.youtube.com/watch?v=TXXVfGAzcYw,49,79,30,1,सिर्फ दो तीन है। और आपको मालूम है हमारे अंदर क्या फर्क है हमारे जिस्मों में। और यह फर्क कुदरत ने सिर्फ प्रजनन के लिए रीप्रोडक्शन के लिए बनाए हैं। इसके लिए नहीं बनाए कि कौन वाइस चांसलर बनेगा तो कौन प्राइम मिनिस्टर बनेगा और कौन मोटरसाइकिल चलाएगा कौन खाना बनाएगा। कुदरत डायवर्सिटी पसंद करती है। कितनी डायवर्सिटी कि दुनिया में,Y,Y,
TXXVfGAzcYw_19,TXXVfGAzcYw_79_109,TXXVfGAzcYw,TXXVfGAzcYw,hi-IN,Formal,https://www.youtube.com/watch?v=TXXVfGAzcYw,79,109,30,2,"seven बिलियन से ज्यादा लोग हैं, मगर उनमें से दो भी एकदम एक जैसे नहीं है। और कुदरत डाइवर्सिटी बनाती है, मगर भेदभाव नहीं बनाती, वो भेद बनाती है, भेदभाव नहीं बनाती। नेचर मेक्स डाइवर्सिटी बट नॉट हायरार्की, नॉट इनइक्वलिटी। कुदरत ने कभी",Y,Y,
TXXVfGAzcYw_19,TXXVfGAzcYw_109_130,TXXVfGAzcYw,TXXVfGAzcYw,hi-IN,Formal,https://www.youtube.com/watch?v=TXXVfGAzcYw,109,130,21,3,"नहीं कहा कि हाथी चूहे से बेहतर है, गुलाब गेंदे से बेहतर है, मर्द औरत से बेहतर है या औरत मर्द से बेहतर है। कुदरत के बनाए भेद को समाज भेदभाव में, डिस्क्रिमिनेशन में, इनइक्वलिटी में बदल देता है और।",Y,Y,
fMsFjH9urDk_13,fMsFjH9urDk_13_43,fMsFjH9urDk,fMsFjH9urDk,hi-IN,Formal,https://www.youtube.com/watch?v=fMsFjH9urDk,13,43,30,0,"मैं हिंदी में बात करूंगा क्योंकि मेरी जुबान हिंदी है, मैं हिंदी में समझता हूं, हिंदी में बोलता हूं। ओके, मेरा नाम नावेद है, मैं रेडियो जॉकी भी हूं, कंटेंट क्रिएटर भी हूं एंड थैंक यू बिट्स। क्योंकि मुझे ऐसी जगह आके आके यह भी लगता है कि जब मैं बोल रहा होता हूं कुछ और कुछ लोग सुन रहे होते हैं तो मैं बहुत खुश होता हूं इस बात से कि वो लोग सुन रहे हैं जो लोग मुझे समझा भी सकते हैं, जो लोग मुझे सिखा भी सकते हैं।",Y,Y,
fMsFjH9urDk_13,fMsFjH9urDk_43_73,fMsFjH9urDk,fMsFjH9urDk,hi-IN,Formal,https://www.youtube.com/watch?v=fMsFjH9urDk,43,73,30,1,"मैं बाहर कम निकलता हूं। ऐसी पर्सनालिटी नहीं है कि जिससे लोग इम्प्रेस हो जाएं, जिससे लोग खुश हो जाएं। तो मैं अपने आप को छुपा के रखता था। जब शुरू में रेडियो कर रहा था। लेकिन जब दुनिया बदलती रही, काम होता रहा तो मैंने भी सोचा कि मैं अपने आप को लोगों के बीच में जाऊं और लोगों से बात करूं। तो इस सफर की शुरुआत हुई थी जब मैं बहुत छोटा था। मैं एक्चुअली मैं बिलोंग करता हूं यूपी से। यूपी का भी एक बहुत छोटा सा एक डिस्ट्रिक्ट और डिस्ट्रिक्ट के छोटे",Y,Y,
fMsFjH9urDk_13,fMsFjH9urDk_73_80,fMsFjH9urDk,fMsFjH9urDk,hi-IN,Formal,https://www.youtube.com/watch?v=fMsFjH9urDk,73,80,7,2,जैसे गांव में मेरे फादर जो थे वो एक किसान थे अब तो उम्र ज़्यादा हो गई।,Y,Y,
inIms1YrbJk_185,inIms1YrbJk_185_200,inIms1YrbJk,inIms1YrbJk,hi-IN,Excited,https://www.youtube.com/watch?v=inIms1YrbJk,185,200,15,0,एडवांटेज है जो लेखू जी हैं वो हमारे दोस्त बन गए क्योंकि अब इस हाईवे पे हम जब भी जाते हैं हमको फोन करते हैं हम बोलते हैं हम पहुंच रहे हैं इतनी देर में पहुंच रहे हैं जल्दी से खाना लगा दो तो चांस अच्छा है कि जैसे ही अंदर पहुंचेंगे खाना ऑलरेडी रेडी होगा बिल्कुल रिवर के तट पर बैठ के,Y,Y,
inIms1YrbJk_246,inIms1YrbJk_246_276,inIms1YrbJk,inIms1YrbJk,hi-IN,Excited,https://www.youtube.com/watch?v=inIms1YrbJk,246,276,30,0,लेकिन कंफ्यूज मत होइएगा। यह ढाबा हमारा नहीं है लेकिन हम इस ढाबे के ओनर से बड़ा प्यार करते हैं क्योंकि खाना वो बड़ा बढ़िया देता है गरम-गरम हर बारी। और खासकर हमको क्योंकि हम आने से पहले फोन कर देते हैं और तुरंत गरम खाना। तो आज क्या है खाने के लिए? चिकन करी। जबरदस्त खूब सारे मसाले के साथ साबत सूखी लाल मिर्च। बिल्कुल खड़े मसाले और कोई कंजूसी नहीं करी है मिर्ची में देखिए कितनी मिर्ची है।,Y,Y,
inIms1YrbJk_246,inIms1YrbJk_276_289,inIms1YrbJk,inIms1YrbJk,hi-IN,Excited,https://www.youtube.com/watch?v=inIms1YrbJk,276,289,13,1,"तो बहुत ही एक स्पाइसी चिकन है, फ्लेवरफुल चिकन है, रोटी के साथ गरम-गरम जब आप खाएंगे, तो काफी ये प्लेजंट टेस्ट है। लेकिन यहां की हाईलाइट जो है, वो है ट्राउट। लेकिन पहले आप बताइए आपकी प्लेट बड़ी अच्छी लग रही है मेरे को आज फॉर अ चेंज।",Y,Y,
WVHeDS7F38k_0,WVHeDS7F38k_0_30,WVHeDS7F38k,WVHeDS7F38k,hi-IN,Excited,https://www.youtube.com/watch?v=WVHeDS7F38k,0,30,30,0,गुड इवनिंग दोस्तों। सो दोस्तों आज है four जून 2026। शाम को हल्की-हल्की बारिश हो रही है और माहौल देखिए आप क्या सजा हुआ है ना एकदम जबरदस्त तरीके से। काले बादल हैं। बारिश आज थोड़ी सी लंबी चली है यानी एक घंटा नहीं तो बारिश अक्सर है ना 15-20 मिनट ही चलती थी। उसके बाद बंद हो जाती थी पर आप माहौल देखिए चारों तरफ का। लाइटें वगैरह जल चुकी है। हम हैं अपनी वन तारा कोटेज में और यह है हमारी कोटेज जो सेब के बागाओं से घिरी हुई है।,Y,Y,
WVHeDS7F38k_0,WVHeDS7F38k_30_60,WVHeDS7F38k,WVHeDS7F38k,hi-IN,Excited,https://www.youtube.com/watch?v=WVHeDS7F38k,30,60,30,1,यह चारों तरफ से और सामने हमारे बहती है एक सुंदर सी रिवर। तो गेस्ट भाई सभी चेक इन है तो रूम सारे रेडी करके हम दे चुके हैं। बाकी यह देखिए नीचे बह रही है रिवर और वह सामने चल रहा है कुल्लू मनाली कोल्ड हाईवे जो जिसको हम नगर रोड भी बोलते हैं। तो फिलहाल ऐसा कुछ माहौल। यह है हमारी प्रॉपर्टी और हमारे गेस्ट बढ़िया मस्त छतरी लेकर घूम रहे हैं। हेलो बेटा कैसे हो? हेलो,Y,Y,
WVHeDS7F38k_0,WVHeDS7F38k_60_70,WVHeDS7F38k,WVHeDS7F38k,hi-IN,Excited,https://www.youtube.com/watch?v=WVHeDS7F38k,60,70,10,2,कैसे हो? अच्छे हो? कैसा लगा? अच्छा लगा? वेरी गुड। भाई।,Y,Y,
